Time of Departure,Departure Airport,Arrival Airport,Arrival Time
1673070749.0,EKCH,EDDF,1673074733
1673069764.0,EPKK,EDDF,1673074525
1673030426.0,,EDDF,1673074518
1673068498.0,ENBR,EDDF,1673074437
1673071284.0,LIML,EDDF,1673074376
1673068185.0,EIDW,EDDF,1673074166
1673070458.0,EPPO,EDDF,1673074123
1673050448.0,KJFK,EDDF,1673074016
1673071789.0,EDDM,EDDF,1673073979
1673059329.0,,EDDF,1673073769
1673068467.0,LHBP,EDDF,1673073712
1673062485.0,,EDDF,1673073684
1673069237.0,LIRQ,EDDF,1673073476
1673070965.0,ELLX,EDDF,1673073411
1673063319.0,LTFM,EDDF,1673073406
1673046596.0,KDTW,EDDF,1673073352
1673071001.0,LSZM,EDDF,1673073290
1673061720.0,,EDDF,1673073255
1673067587.0,EPRZ,EDDF,1673073147
1673069104.0,LOWG,EDDF,1673073119
1673068955.0,LOWW,EDDF,1673073084
1673069913.0,LIML,EDDF,1673073074
1673070516.0,EDDP,EDDF,1673072956
1673068834.0,LIPX,EDDF,1673072849
1673048425.0,KIAD,EDDF,1673072806
1673069984.0,EDDB,EDDF,1673072804
1673048777.0,KEWR,EDDF,1673072693
1673069733.0,LOWS,EDDF,1673072685
1673070852.0,EDDS,EDDF,1673072635
1673070566.0,EDDG,EDDF,1673072597
1673068717.0,LIMF,EDDF,1673072546
1673065633.0,EVRA,EDDF,1673072486
1673020929.0,VHHH,EDDF,1673072427
1673069958.0,EDDC,EDDF,1673072369
1673069439.0,EDDW,EDDF,1673072204
1673045167.0,KORD,EDDF,1673072199
1673044009.0,KMIA,EDDF,1673072116
1673045119.0,KCLT,EDDF,1673071993
1673017064.0,,EDDF,1673071856
1673017299.0,VECC,EDDF,1673071698
1673069606.0,EDDV,EDDF,1673071559
1673055322.0,,EDDF,1673071496
1673065053.0,,EDDF,1673071404
1673048951.0,OTHH,EDDF,1673071255
1673012098.0,VTBS,EDDF,1673071037
1673067998.0,EDDH,EDDF,1673070951
1673017904.0,,EDDF,1673070857
1673047301.0,,EDDF,1673070742
1673047977.0,OKBK,EDDF,1673070629
1673058276.0,,EDDF,1673070508
1673046367.0,KIAD,EDDF,1673070470
1673049173.0,,EDDF,1673070463
1673047633.0,,EDDF,1673070112
1673068482.0,EDDN,EDDF,1673069925
1673043704.0,CYYZ,EDDF,1673069845
1673055248.0,OLBA,EDDF,1673069749
1673023018.0,,EDDF,1673069746
1673046106.0,KJFK,EDDF,1673069484
1673038723.0,,EDDF,1673069242
1673020550.0,VHHH,EDDF,1673068709
1673062901.0,,EDDF,1673068678
1673024214.0,,EDDF,1673068497
1673054740.0,,EDDF,1673068379
1673027158.0,FACT,EDDF,1673068344
1673025843.0,VTBS,EDDF,1673068066
1673044088.0,,EDDF,1673067591
1673040581.0,KDTW,EDDF,1673067538
1673009720.0,FACT,EDDF,1673067140
1673039285.0,KORD,EDDF,1673066841
1673056400.0,,EDDF,1673066757
1673043665.0,KJFK,EDDF,1673066626
1673055333.0,,EDDF,1673065589
1673059821.0,,EDDF,1673065220
1673053597.0,,EDDF,1673065157
1673011745.0,,EDDF,1673065019
1673058276.0,EIDW,EDDF,1673064861
1673061761.0,EDDP,EDDF,1673064779
1673012920.0,RJTT,EDDF,1673064681
1673058252.0,,EDDF,1673064348
1673040025.0,KBOS,EDDF,1673064146
1673052386.0,EDEF,EDDF,1673053039
1673036211.0,EPWA,EDDF,1673041556
1673031696.0,LPPT,EDDF,1673040607
1673007101.0,EDDF,EDDF,1673040283
1673036070.0,EGLL,EDDF,1673040167
1673037398.0,EHAM,EDDF,1673039960
1673032391.0,LEMD,EDDF,1673039566
1673029530.0,,EDDF,1673039391
1673028395.0,LTFM,EDDF,1673038901
1673034873.0,LFPG,EDDF,1673038037
1673034901.0,EHAM,EDDF,1673037329
1673033314.0,LOWW,EDDF,1673037171
1673029930.0,ESSA,EDDF,1673036099
1673029960.0,ENGM,EDDF,1673035859
1673033634.0,EDDM,EDDF,1673035620
1673030400.0,ESGG,EDDF,1673034985
1673031137.0,EGLL,EDDF,1673034975
1673021679.0,,EDDF,1673034828
1672996277.0,EDDF,EDDF,1673034700
1672998579.0,EDDF,EDDF,1673034600
1673029651.0,LIRF,EDDF,1673034597
1673027827.0,LEBL,EDDF,1673034264
1673019416.0,LLBG,EDDF,1673034004
1673027113.0,LEPA,EDDF,1673033976
1673028506.0,EIDW,EDDF,1673033969
1673026124.0,,EDDF,1673033654
1673021732.0,,EDDF,1673033624
1673029535.0,LIPE,EDDF,1673033473
1673024475.0,LPPT,EDDF,1673033339
1673028769.0,ESGG,EDDF,1673033330
1673030685.0,EHAM,EDDF,1673033271
1673029122.0,EKCH,EDDF,1673033154
1673023417.0,LTFM,EDDF,1673033141
