icao24,firstSeen,firstSeen_utc,estDepartureAirport,lastSeen,lastSeen_uts,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
abcf15,1728541184,2024-10-10 06:19:44+00:00,KATL,1728541973,2024-10-10 06:32:53+00:00,,JRT60   ,1172,15,,,317,0
ab6851,1728539677,2024-10-10 05:54:37+00:00,KATL,1728541973,2024-10-10 06:32:53+00:00,,DAL36   ,1122,15,,,317,0
a52e5b,1728538404,2024-10-10 05:33:24+00:00,KATL,1728541974,2024-10-10 06:32:54+00:00,,ATN1550 ,1097,7,,,316,0
a49d22,1728540222,2024-10-10 06:03:42+00:00,KSLC,1728541948,2024-10-10 06:32:28+00:00,,DAL705  ,1776,37,,,49,0
a898a9,1728540048,2024-10-10 06:00:48+00:00,KSLC,1728541943,2024-10-10 06:32:23+00:00,,JBU248  ,1724,31,,,49,0
a369e7,1728539798,2024-10-10 05:56:38+00:00,KSLC,1728541950,2024-10-10 06:32:30+00:00,,SKW3756 ,1730,67,,,49,0
a3d7a7,1728539601,2024-10-10 05:53:21+00:00,KSLC,1728541977,2024-10-10 06:32:57+00:00,,DAL2079 ,1676,7,,,49,0
a76c79,1728538874,2024-10-10 05:41:14+00:00,KSLC,1728541978,2024-10-10 06:32:58+00:00,,DAL2036 ,1685,22,,,49,0
a6b470,1728538781,2024-10-10 05:39:41+00:00,KSLC,1728541977,2024-10-10 06:32:57+00:00,,DAL696  ,1599,46,,,49,0
a3e8dc,1728538287,2024-10-10 05:31:27+00:00,KSLC,1728541977,2024-10-10 06:32:57+00:00,,DAL912  ,1088,38,,,51,0
a96b65,1728541144,2024-10-10 06:19:04+00:00,KDEN,1728541978,2024-10-10 06:32:58+00:00,,FFT3294 ,4317,39,,,171,0
a59d5f,1728540768,2024-10-10 06:12:48+00:00,KDEN,1728541977,2024-10-10 06:32:57+00:00,,AAL1654 ,4400,24,,,171,0
a6c247,1728540698,2024-10-10 06:11:38+00:00,KDEN,1728541940,2024-10-10 06:32:20+00:00,,UAL1712 ,5302,1,,,170,0
a2bbcc,1728540607,2024-10-10 06:10:07+00:00,KDEN,1728541977,2024-10-10 06:32:57+00:00,,UAL297  ,4525,32,,,171,0
a448f6,1728540522,2024-10-10 06:08:42+00:00,KDEN,1728541957,2024-10-10 06:32:37+00:00,,UAL2610 ,4770,17,,,170,0
a707a3,1728540228,2024-10-10 06:03:48+00:00,KDEN,1728541938,2024-10-10 06:32:18+00:00,,JBU994  ,4549,9,,,171,0
ac5488,1728539951,2024-10-10 05:59:11+00:00,KDEN,1728541977,2024-10-10 06:32:57+00:00,,DAL411  ,4551,9,,,171,0
a5cbf3,1728539746,2024-10-10 05:55:46+00:00,KDEN,1728541977,2024-10-10 06:32:57+00:00,,UAL1609 ,5137,5,,,170,0
a2b157,1728539306,2024-10-10 05:48:26+00:00,KDEN,1728541978,2024-10-10 06:32:58+00:00,,UAL1108 ,4611,17,,,171,0
440b9b,1728539801,2024-10-10 05:56:41+00:00,KORD,1728541981,2024-10-10 06:33:01+00:00,,AFR6731 ,1672,60,,,520,0
06a2df,1728539686,2024-10-10 05:54:46+00:00,KORD,1728541981,2024-10-10 06:33:01+00:00,,QTR8102 ,1065,67,,,521,0
8990e4,1728539578,2024-10-10 05:52:58+00:00,KORD,1728541981,2024-10-10 06:33:01+00:00,,EVA055  ,1061,44,,,521,0
a398f4,1728538364,2024-10-10 05:32:44+00:00,KORD,1728541981,2024-10-10 06:33:01+00:00,,N33055  ,1380,183,,,520,0
896612,1728541129,2024-10-10 06:18:49+00:00,OMDB,1728541956,2024-10-10 06:32:36+00:00,,A6FTS   ,25821,87,,,21,0
89664a,1728540132,2024-10-10 06:02:12+00:00,OMDB,1728541981,2024-10-10 06:33:01+00:00,,A6FTT   ,24760,125,,,21,0
4cafcd,1728541725,2024-10-10 06:28:45+00:00,ESSA,1728541985,2024-10-10 06:33:05+00:00,,SAS024  ,900,194,,,22,0
4cacb4,1728541638,2024-10-10 06:27:18+00:00,ESSA,1728541984,2024-10-10 06:33:04+00:00,,SAS40E  ,937,194,,,22,0
5110ca,1728541549,2024-10-10 06:25:49+00:00,ESSA,1728541984,2024-10-10 06:33:04+00:00,,SAS105  ,813,186,,,22,0
