icao24,callsign,origin_country,time_position,last_contact,last_contact_utc,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,baro_altitude,squawk,category
ab6fdd,AAL1452 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-92.0521,39.5598,10393.68,False,227.87,263.39,0.33,10363.2,7556,1
aa69db,ENY3631 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-88.8378,41.3738,4008.12,False,163.99,35.04,-7.15,4023.36,1142,1
acdfab,DAL3027 ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-84.7981,33.863,3726.18,False,193.88,125.71,-5.85,3672.84,5640,1
3c6675,DLH93M  ,Germany,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-8.3652,39.8435,7368.54,False,190.7,197.26,-3.9,7139.94,2545,1
a39bfa,UAL1393 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-84.9167,40.135,11125.2,False,256.81,76.8,0.0,11277.6,2461,1
471efc,WZZ7ZH  ,Hungary,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,12.4542,47.1296,11696.7,False,234.46,34.63,0.0,11277.6,1000,4
adda1e,AAL1693 ,United States,1729029926.0,1729029951,2024-10-15 22:05:51+00:00,-87.9479,41.9656,266.7,False,78.71,89.63,-1.63,190.5,7511,1
3c65ad,DLH6AA  ,Germany,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-69.7233,45.969,11993.88,False,242.46,220.01,0.0,12192.0,3401,6
3c65c4,DLH586  ,Germany,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,26.0987,36.9289,11788.14,False,257.59,145.17,0.0,11269.98,4372,4
a8a87e,UAL110  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-84.5045,42.2876,11094.72,False,240.29,88.9,0.0,11269.98,4113,1
a091f3,EDV5083 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-82.1169,40.8159,9220.2,False,250.19,68.02,0.33,9448.8,3457,4
a2845b,SKW4114 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-83.7094,34.5687,8717.28,False,173.71,249.36,0.0,8534.4,3670,4
a53436,RPA4617 ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-71.3135,41.5141,2499.36,False,153.69,148.97,15.61,2606.04,1461,4
7809a9,CCA938  ,China,1729029066.0,1729029963,2024-10-15 22:06:03+00:00,26.4955,58.6224,10523.22,False,246.33,70.73,0.0,10668.0,1171,1
3c5429,BCS7JG  ,Germany,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,10.7782,50.3687,7795.26,False,223.72,33.65,-5.2,7520.94,1000,1
a35605,DAL1685 ,United States,1729029914.0,1729029919,2024-10-15 22:05:19+00:00,-81.2822,28.4028,106.68,False,75.12,359.22,-2.93,6484.62,3277,4
471f5c,WZZ11QQ ,Hungary,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,17.0508,51.0515,815.34,False,93.94,298.81,-5.85,647.7,2154,1
4400b2,EJU12EB ,Austria,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-1.072,40.7934,11650.98,False,221.34,249.88,0.0,11277.6,4065,1
3c542b,BCS7511 ,Germany,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,11.3823,49.5379,9265.92,False,230.58,4.22,-5.2,8938.26,1000,1
3c542a,BCS3KC  ,Germany,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,11.0429,54.8646,10332.72,False,222.23,231.49,4.88,10126.98,5661,1
a59601,UAL982  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-76.7549,41.4592,9845.04,False,285.29,60.15,-0.33,10058.4,0472,6
3c5433,BCS2665 ,Germany,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,0.6463,51.2995,5951.22,False,209.15,99.49,13.33,5775.96,2216,1
3c5431,BCS44C  ,Germany,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,11.5725,51.7254,4038.6,False,196.33,191.49,-11.05,3855.72,7675,1
3c542f,BCS59X  ,Germany,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,9.6871,49.225,10759.44,False,241.41,31.76,0.0,10363.2,1000,1
3c6709,DLH412  ,Germany,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-72.8051,43.5189,8869.68,False,202.29,223.97,-6.5,9166.86,3172,6
7c6c52,VOZ820  ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,149.8071,-35.1445,10538.46,False,211.58,234.3,0.0,10355.58,4027,1
a546c9,RPA4430 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-83.4064,39.7628,8915.4,False,225.48,288.77,0.33,9144.0,6510,4
a52cc8,RPA4616 ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-75.1605,40.6449,6835.14,False,184.31,239.28,8.45,7025.64,1137,4
ada5ee,JBU623  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-91.9857,42.8991,9761.22,False,255.09,261.18,0.0,9761.22,2673,4
a3ee0b,UPS2014 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-75.7733,42.6487,11704.32,False,258.6,85.32,0.0,11887.2,6766,6
a6f31d,N547ND  ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-105.0071,40.0636,1981.2,False,51.84,220.17,-2.6,1882.14,3750,2
