icao24,firstSeen,firstSeen_utc,estDepartureAirport,lastSeen,lastSeen_uts,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
80162c,1728540208,2024-10-10 06:03:28+00:00,VECC,1728541788,2024-10-10 06:29:48+00:00,,AXB1886 ,890,33,,,11,0
88044d,1728540555,2024-10-10 06:09:15+00:00,VTCC,1728541035,2024-10-10 06:17:15+00:00,,AIQ242  ,1430,95,,,19,0
8a02ff,1728539904,2024-10-10 05:58:24+00:00,WIDD,1728541164,2024-10-10 06:19:24+00:00,,CTV943  ,9286,533,,,19,0
880452,1728540684,2024-10-10 06:11:24+00:00,VTCC,1728541701,2024-10-10 06:28:21+00:00,,AIQ3448 ,1400,110,,,19,0
880458,1728540272,2024-10-10 06:04:32+00:00,VTBD,1728541687,2024-10-10 06:28:07+00:00,,AIQ1030 ,523,81,,,16,0
51113f,1728539409,2024-10-10 05:50:09+00:00,EEKE,1728540800,2024-10-10 06:13:20+00:00,,NYX202  ,16260,1877,,,17,0
e8026a,1728540671,2024-10-10 06:11:11+00:00,SPJC,1728541657,2024-10-10 06:27:37+00:00,,LPE2486 ,1817,285,,,11,0
80162c,1728595251,2024-10-10 21:20:51+00:00,VOMM,1728596236,2024-10-10 21:37:16+00:00,,AXB697  ,2098,342,,,5,0
4b1818,1728594503,2024-10-10 21:08:23+00:00,LSZH,1728596915,2024-10-10 21:48:35+00:00,,SWR9YP  ,1291,147,,,130,0
aa3cbe,1728595650,2024-10-10 21:27:30+00:00,KLGU,1728596915,2024-10-10 21:48:35+00:00,,N759PA  ,1442,74,,,59,0
8a02ff,1728596718,2024-10-10 21:45:18+00:00,,1728596887,2024-10-10 21:48:07+00:00,,CTV726  ,,,,,0,0
880454,1728595488,2024-10-10 21:24:48+00:00,VTBD,1728596729,2024-10-10 21:45:29+00:00,,AIQ3350 ,3564,477,,,15,0
880450,1728594084,2024-10-10 21:01:24+00:00,VTBD,1728595501,2024-10-10 21:25:01+00:00,,AIQ470  ,3179,408,,,15,0
a53eef,1728593537,2024-10-10 20:52:17+00:00,KGEG,1728595812,2024-10-10 21:30:12+00:00,,UPS2991 ,527,22,,,151,0
ad90a3,1728593768,2024-10-10 20:56:08+00:00,KJAX,1728596370,2024-10-10 21:39:30+00:00,,AAL2585 ,2848,851,,,245,0
aa3cbe,1728601001,2024-10-10 22:56:41+00:00,KLGU,1728601917,2024-10-10 23:11:57+00:00,,N759PA  ,524,28,,,59,0
80162a,1728601527,2024-10-10 23:05:27+00:00,,1728601916,2024-10-10 23:11:56+00:00,,IGO7253 ,,,,,0,0
801638,1728601468,2024-10-10 23:04:28+00:00,,1728601917,2024-10-10 23:11:57+00:00,,AIC776  ,,,,,0,0
407a38,1728601352,2024-10-10 23:02:32+00:00,EGJJ,1728601572,2024-10-10 23:06:12+00:00,,NPT903  ,2071,479,,,42,0
880456,1728598481,2024-10-10 22:14:41+00:00,WSSS,1728599063,2024-10-10 22:24:23+00:00,,AIQ350  ,3334,267,,,19,0
a71e29,1728598594,2024-10-10 22:16:34+00:00,PANC,1728599542,2024-10-10 22:32:22+00:00,,N558LM  ,2578,182,,,166,0
4952ca,1728601571,2024-10-10 23:06:11+00:00,,1728601877,2024-10-10 23:11:17+00:00,,TAP1558 ,,,,,0,0
3c664e,1728598981,2024-10-10 22:23:01+00:00,EDDF,1728601603,2024-10-10 23:06:43+00:00,,DLH1LC  ,1944,308,,,151,0
e4944e,1728599727,2024-10-10 22:35:27+00:00,SPJC,1728600360,2024-10-10 22:46:00+00:00,,TAM8040 ,3220,460,,,11,0
7c6b2d,1728609800,2024-10-11 01:23:20+00:00,YMML,1728611929,2024-10-11 01:58:49+00:00,,JST472  ,2688,103,,,89,0
c822bb,1728607077,2024-10-11 00:37:57+00:00,NZWN,1728608791,2024-10-11 01:06:31+00:00,NZTN,SDA802  ,6585,940,14321,3080,20,0
3c664e,1728609362,2024-10-11 01:16:02+00:00,EDDF,1728611229,2024-10-11 01:47:09+00:00,,DLH2RL  ,2005,376,,,150,0
a3b85b,1728609915,2024-10-11 01:25:15+00:00,KFBL,1728610177,2024-10-11 01:29:37+00:00,,MVK35   ,9561,690,,,233,0
e8026a,1728610239,2024-10-11 01:30:39+00:00,KMIA,1728610921,2024-10-11 01:42:01+00:00,,LNE1453 ,2659,515,,,127,0
